id,title,body,category,priority
1,Anomalia stampante,La stampante laser ha un'anomalia nella stampa dei colori.,Tecnico,Bassa
2,Fatture errate,Ci sono problemi con le fatture inviate dai fornitori questo mes.e,Amministrazione,Media
3,Documentazioen,"Salve, avrei necessità che mi mandaste le certificaizoni uniche.",Amministrazione,Bassa
4,PC bloccati,"I computer dell'ufficio non si accendono, siamo tutti fermi.",Tecnico,Alta
5,Errroe IVA,L'importo caclolato per l'imposta contiene un errore.,Amministrazione,Media
6,Guasto portale,"Buongirono, vi comunico che il portale pagamenti ha un guasto.",Amministrazione,Alta
7,Calcolo sbagliato,Ho notato che la trattenuta in ubsta paga è sbgaliata.,Amministrazione,Media
8,Virus,Malware rilevato. PC inutilizzabile.,Tecnico,Alta
9,iVrus,Malware rilevato. PC inutilizzabile.,Tecnico,Alta
10,Server offline,"Il server princpiale ha subito un guasto hardware, siamo offlin.e",Tecnico,Alta
11,Virus,Malware rilevato. PC inutilizzabile.,Commerciale,Alta
12,Errore contratto,C'è un errore di battitura nella clausola 4 del contratto.,Commerciale,Media
13,Invio cataloghi,Ricordatevi di mandare i pdf con i nuovi cataloghi ai clienti stoirci.,Commerciale,Bassa
14,Coordinate IBAN,Mandatemi l'IBAN per il nuovo cliente americano.,Commerciale,Bassa
15,Guasto,Rete giù. Fate presto.,Tecnico,Alta
16,Call,Domani alle 10 call con prospect.,Commerciale,Alta
17,Sconto,Applicare sconot 10% subito.,Commerciale,Bassa
18,PC bloccato,"Il computre non si accende, la situazione è bloccante per il mio lavoro.",Tecnico,Alta
19,Errroe IVA,L'importo calcolato per l'imposta contiene un errore.,Amministrazione,Media
20,Anomalai listino,Ho riscontrato un'anomalia nel prezzo caricato a sistema.,Commerciale,Media
21,Errori di sistema,"I programmi restituiscono continiu errori, non irusciamo a lavorare.",Tecnico,Media
22,Probleam legale,Vi scrivo urgentemente perché il clietne ha mniacciato vie lgeali.,Commerciale,Alta
23,Password,Password scaduta. Reste urgente.,Tecnico,Media
24,Codici IBAN,Mandatemi i codici bancari e gli IBAN per i nuovi clienti.,Amministrazione,Bassa
25,Sconto,Applicare sconto 10% subito.,Commerciale,Bassa
26,Server offline,"Il server pirncipale ha subito un guasto hardware, simao offline.",Tecnico,Alta
27,Pagametno,Pagamento fornitore erspinto.,Amministrazione,Media
28,Calcloo sbagliato,Ho notato che la trattenuta in busta paga è sbagliata.,Amministrazione,Media
29,Errori IVA,Gli importi caloclati per le imposte contengono numerosi errori.,Amministrazione,Media
30,Guasto portale,"Buongiorno, vi comunico che il portale pagamenti ha un guasto.",Amministrazione,Alta
31,Errore contratto,C'è un errore di battitrua nella clausola 4 del contratto.,Commerciale,Media
32,Errori di sisetma,"I programmi restituiscono continui errori, non riusciamo a lavorare.",Tecnico,Media
33,PC bloccato,"Il copmuter non si accende, la situazione è bloccante per il mio lavoro.",Tecnico,Alta
34,Stipendio bloccato,Il bonifico del mio stipendio è bloccato in banca.,Amministrazione,Alta
35,Cdoici IBAN,Mandatemi i codici bancari e gli IBAN per i nuovi clienti.,Amministrazione,Bassa
36,Preventivi sbagliati,"Abbiamo inviato delle offerte con i prezzi sbagliati, vanno corrette.",Commerciale,Media
37,Ritardo,Forte ritardo consegna. Cliente furioso.,Commerciale,Media
38,Fattura da controllaer,C'è un problema con la fattura del forniotre Rossi.,Amministrazione,Media
39,Fatture errate,Ci sono porblemi con le fatture inviate dai ofrnitori questo mese.,Amministrazione,Media
40,Software in carsh,"Salve, volevo segnalare che il gestionale crasha in continuazione.",Tecnico,Alta
41,Guasto,Rete giù. Fate presto.,Tecnico,Alta
42,Urgenza monitor,"Lo schermo è nero, mi serve un intervento urgente.",Tecnico,Media
43,Contratti scaduti,"I rinnovi dei cnotratti sono scaduti, dobbiamo ricontattarli.",Commerciale,Alta
44,Server guasti,"I server principali sono caduti, l'intera rete aziendale è giù.",Tecnico,Alta
45,Sconto,Applicare sconto 10% subito.,Commerciale,Bassa
46,Virus,Malware rlievato. PC inutilizzabile.,Tecnico,Alta
47,Fattuar da controllare,C'è un problema con la fattura del ofrnitore Rossi.,Amministrazione,Media
48,Codici IBAN,Mandatemi i codici bancari e gli IBAN per i nuovi clienti.,Amministrazione,Bassa
49,Errore IVA,L'importo calcolato per l'imposta contiene un errore.,Amministrazione,Media
50,Problema legale,Vi scrivo urgentemente perché il cliente ha minacciato vie legali.,Commerciale,Alta
51,Lentezza navigazione,"Buongiorno, vi scrivo per segnalare che da questa mattina si registra un rallentamento della rete.",Tecnico,Media
52,Urgenza monitor,"Lo schermo è nero, mi sevre un intervento urgente.",Tecnico,Alta
53,uGasto,Rete giù. Fate presto.,Tecnico,Alta
54,Contartti scaduti,"I rinnovi dei contratti sono scaduti, dobbiamo ricontattarli.",Commerciale,Alta
55,Anomalia stampante,La stampante laser ha un'anomalia nella stampa dei colori.,Tecnico,Media
56,F24,Scadenza F24 oggi. Urgente!,Amministrazione,Alta
57,Stampatni rotte,"Le stampanti del secodno piano sono rotte, i toner sono difettosi.",Tecnico,Media
58,F24,Scadenza F24 oggi. Urgente!,Amministrazione,Alta
59,Ritardo,Frote ritardo consegna. Cliente furioso.,Commerciale,Media
60,Fatture errate,Ci sono probleim con le fatture inviate dai fornitori questo mese.,Commerciale,Media
61,Preventivi sbagliati,"Abbiamo inviato delle offerte con i prezzi sbagliati, vanno corrette.",Commerciale,Media
62,Call,Domani alle 10 call con prospect.,Commerciale,Bassa
63,Nuovi lead,Abbimao ricevuto ottimi contatti e nuovi lead dall'evento di ieri.,Commerciale,Bassa
64,Strategia fiera,"In seguito all'evento di ieri, vorrei fissare un incontro per discutere la strategia.",Commerciale,Bassa
65,Stampanti ortte,"Le stampanit del secondo piano sono rtote, i tnoer sono difettosi.",Tecnico,Media
66,Server guasti,"I server princpiali sono caduti, l'intera rete aziendale è giù.",Tecnico,Alta
67,Softawre in carsh,"Salve, volevo segnalaer che il gestoinale crasha in continuazione.",Amministrazione,Alta
68,Preventivo sbagliato,"Abbiamo inviato un'offerta con un prezzo sbagliato, va corretta.",Commerciale,Media
69,Password,Password scaduta. Reset urgente.,Tecnico,Alta
70,Stipendi lboccati,"I bonifici dgeli stipendi sono stati respinti, situazione grave.",Amministrazione,Alta
71,Stampanti rotte,"Le stampanti del secondo piano sono rotte, i toner sono difettosi.",Tecnico,Media
72,Anomalai listino,Ho riscontrato un'anomalia nel prezzo caricato a sistema.,Commerciale,Media
73,F24,Scadenza F24 oggi. Urgente!,Amministrazione,Alta
74,Spese,Allego note spese.,Amministrazione,Bassa
75,PC bloccato,"Il computer non si accende, la situazione è bloccante per il mio lavroo.",Tecnico,Alta
76,Invio cataloghi,Ricordatevi di mandaer i pdf con i nuovi cataloghi ai clienti stoirci.,Commerciale,Bassa
77,Contratti scaduti,"I rinnovi dei contratti sono scaduti, dobbiamo ricontattarli.",Commerciale,Alta
78,Fattura da controllare,C'è un problema con la fattura del fornitore Rossi.,Amministrazione,Media
79,Stipendio bloccato,Il bonifico del mio stipendio è bloccato in banca.,Amministrazione,Alta
80,Ordine bloccato,"La spedizione per il cliente VIP è ferma, situazione cirtica.",Commerciale,Alta
81,Errore contratto,C'è un errore di battitura nella clausola 4 del contratto.,Commerciale,Media
82,Errori IVA,Gli importi calcolati per le imposte contengono numerosi errori.,Amministrazione,Media
83,Guasto,Rete giù. Fate presto.,Tecnico,Bassa
84,Spese,Allego note spese.,Amministrazione,Bassa
85,Monitor spenti,Gli schermi delle nuove postazoini rimangono neri.,Tecnico,Bassa
86,Errori di sistema,"I progrmami restituiscono continui errori, non riuscimao a lavorare.",Tecnico,Media
87,Server guasti,"I sevrer principali sono caduti, l'intera rete aziendale è giù.",Tecnico,Alta
88,Monitor spenti,Gli schermi delle nuove postazioni rimangono neri.,Tecnico,Bassa
89,F24,Scadenza F24 gogi. Urgente!,Amministrazione,Alta
90,Stipendi bloccati,"I bonfiici degli stipendi sono stati respinti, situazione grav.e",Amministrazione,Alta
91,Ritardo,Forte ritadro consegn.a Cliente furioso.,Commerciale,Media
92,Preventivo sbagliato,"Abbiamo inviato un'offerta con un prezzo sbagliato, va corretta.",Commerciale,Media
93,Ordini bloccati,Le spedizioni per i clienti VIP sono ferme in magazzino.,Commerciale,Alta
94,Ritardo,Forte ritardo consegna. Cliente furioso.,Commerciale,Media
95,Preventivo sbagliato,"Abbiamo inviato un'offerta con un prezoz sbagliato, va corretta.",Commerciale,Media
96,Fatture errate,Ci sono problemi con le fatture inviate dai fornitori questo mese.,Amministrazione,Media
97,PC bloccati,"I computer dell'ufficio non si accendono, siamo tutti fermi.",Tecnico,Alta
98,Ordine bloccato,"La spedizione per il cliente VIP è ferma, situazione critica.",Commerciale,Alta
99,Errori di sistema,"I programmi restituiscono continui errori, non riusciamo a lavorare.",Tecnico,Media
100,Errori IVA,Gli importi calcolati per le imposte contengono numerosi errori.,Amministrazione,Media
101,Call,Domani alle 10 call con prospect.,Commerciale,Bassa
102,Strategia fiera,"In seguito all'evento di ieri, vorrei fissare un incontro per discutere la strategia.",Commerciale,Bassa
103,Guasto portale,"Buongiorno, vi comunico che il portale pagamenti ha un guasto.",Amministrazione,Alta
104,Anomalia stampante,La stampante laser ha un'anomalia nella stampa dei colori.,Tecnico,Media
105,Invio cataloghi,Ricordatevi di mandrae i pdf con i nuovi cataloghi ai clienti storici.,Commerciale,Bassa
106,PC bloccato,"Il cmoputer non si accende, la situazione è bloccante per il mio lavoro.",Tecnico,Alta
107,Spese,Allego note spese.,Amministrazione,Bassa
108,Preventivo sbagliato,"Abbiamo inviato un'offerta con un prezzo sbagliato, va corretta.",Commerciale,Media
109,Stipnedio bloccato,Il bonifico del mio stipendio è bloccato in banca.,Amministrazione,Alta
110,Errore contratto,C'è un errore di battitura nella clausola 4 del contratto.,Commerciale,Media
111,Anomalia lsitino,Ho riscontraot una'nomalia nel prezzo caricato a sistmea.,Commerciale,Media
112,Strategia fiera,"In seguito all'evento di ieri, vorrei fissare un incontro per discutere la strategia.",Commerciale,Bassa
113,Ordine bloccato,"La spedizione per il cliente VIP è ferma, situazione critica.",Commerciale,Alta
114,PC bloccati,"I computer dell'ufficio non si accendono, siamo tutti ferim.",Tecnico,Alta
115,Softwaer in crash,"Salve, volevo segnalare che il gestionale crasha in continuazione.",Tecnico,Alta
116,Fatture errate,Ci sono prbolemi con le fatture inviate dai fornitori questo mese.,Amministrazione,Media
117,Errore IVA,L'importo calcolato per l'imposta contiene un errroe.,Commerciale,Media
118,Nuovi lead,Abbiamo ricevuto ottimi contatti e nuovi lead dall'evento di ieri.,Commerciale,Bassa
119,Nuovi lead,Abbiamo ricevuto ottimi contatti e nuovi lead dall'evento di ieri.,Commerciale,Bassa
120,Stipendio bloccato,Il bonifico del mio stipendio è bloccato in banca.,Amministrazione,Alta
121,Errore IVA,L'importo calcolato per l'imposta contiene un errore.,Amministrazione,Media
122,Monitor spenti,Gli schermi delel nuove postazioni rimangono neri.,Tecnico,Bassa
123,Anomalia listino,Ho riscontrato un'anomalia nel prezzo caricato a sistema.,Commerciale,Media
124,aFtture errate,Ci sono problemi con le fatture invitae dai fornitori questo mese.,Amministrazione,Media
125,Coordinate IBAN,Mandatemi l'IBAN per il nuovo cliente americano.,Amministrazione,Bassa
126,Server offline,"Il server principale ha subito un guasto hardware, isamo offline.",Tecnico,Alta
127,Nuovi lead,Abbiamo ricevuto ottimi contatti e nuovi lead dall'evento di ieri.,Commerciale,Bassa
128,Coordinate IBAN,Mandatemi l'IBAN per il nuovo cliente americano.,Amministrazione,Bassa
129,Rimborsi ritardo,Ci sono ritardi nei rimborsi delle trasferte di Roma e Milano.,Amministrazione,Media
130,Errori IVA,Gli importi calcolati per le imposte contengono numeorsi errori.,Amministrazione,Media
131,Preventivo sbagliato,"Abbimao inviato un'offerta con un prezzo sbalgiato, va corertta.",Commerciale,Media
132,Nuovi lead,Abibamo ricevuto ottmii contatti e nuovi lead dall'evento di ieri.,Commerciale,Bassa
133,Codici IBAN,Mandatemi i codici bancari e gli IBAN per i nuovi clienti.,Amministrazione,Bassa
134,Stampanti rotte,"Le stampanti del secondo piano sono rotte, i toner sono difettosi.",Tecnico,Media
135,Fatture errate,Ci sono problemi con le fatture inviate dai fornitori questo mees.,Amministrazione,Media
136,Monitor spenti,Gli schermi delle nuove postazioni rimangono enri.,Tecnico,Bassa
137,Coordinate IBAN,Mandatemi l'IBAN per il unovo lciente americano.,Amministrazione,Bassa
138,Server offline,"Il sevrer principale ha subito un guasto hardware, siamo offline.",Tecnico,Alta
139,Stipendio bloccato,Il bonifico del mio stipendio è bloccato in banca.,Amministrazione,Alta
140,Guasto,Rete giù. Fate presto.,Tecnico,Alta
141,Virus,Malware rilevaot. PC inutilizzabile.,Tecnico,Alta
142,Calcolo sbagliato,Ho notato che la trattenuta in busta paga è sbagliata.,Amministrazione,Media
143,Erroer di sistema,Il programma restituisce un errore durante il salvataggio.,Tecnico,Media
144,Spese,Allego note spese.,Amministrazione,Bassa
145,Server guasti,"I server principali sono caduti, l'intera rete aziendale è giù.",Tecnico,Alta
146,Pagamento,Pagaemnto fornitore respinto.,Amministrazione,Bassa
147,PC bloccato,"Il computer non si accende, la situazione è bloccante per il mio lavoro.",Amministrazione,Media
148,Lentezza navigazione,"Buongoirno, vi scrivo per segnalare che da questa mattina si registra un rallentamento della rete.",Tecnico,Media
149,Nuovi lead,Abbiamo ricevuto totimi contatti e nuovi lead dall'evento di ieir.,Commerciale,Bassa
150,Problmea legale,Vi scrivo urgentemente perché il clinete ha minaccaito vie legali.,Commerciale,Alta
151,Contrtato in csadenza,"Il rinnovo è scaudto ieri, rischiamo di perdere il cliente, urgente!",Commerciale,Alta
152,Urgenza mointor,"Lo schermo è nero, mi serve un intervento urgente.",Tecnico,Alta
153,Server guasti,"I server principali sono caduti, l'intera rete aziendale è giù.",Tecnico,Alta
154,Strategia fiera,"In seguito all'evento di ieri, vorrei fisasre un incontor per discutere la strategia.",Commerciale,Bassa
155,Sevrer guasti,"I server principali sono caduti, l'intera rete aziednale è giù.",Tecnico,Alta
156,Contratto in scadenza,"Il rinnovo è scaduto ieri, rischiamo di perdere il cliente, urgente!",Commerciale,Alta
157,Server offline,"Il server principale ha subito un guasto hardware, siamo offline.",Tecnico,Alta
158,Codici IBAN,Mandatemi i codici bancari e gli IBAN per i nuovi clienti.,Amministrazione,Bassa
159,Errori di sistema,"I programmi restituiscono continui errori, non riusciamo a lavorare.",Tecnico,Media
160,Problema legale,Vi scrivo urgnetemente perché il cliente ha minacciato vie legali.,Commerciale,Alta
161,Software in crash,"Salve, volveo segnalare che il gestionale crasha in continuazione.",Tecnico,Alta
162,PC bloccati,"I computer dell'ufficio non si accendono, siamo tutti fermi.",Tecnico,Alta
163,Pezzo idfettoso,Il mouse appena consegnato sembra difettoso.,Tecnico,Bassa
164,Nuovi lead,Abbiamo ricevuto ottimi contatti e nuovi lead dall'evento di ieri.,Commerciale,Bassa
165,Rimborsi ritardo,Ci sono ritardi nei rimborsi delle trasferte di Roma e Milano.,Amministrazione,Media
166,Ordine bloccato,"La spedizione per il cliente VIP è ferma, situazione critica.",Commerciale,Alta
167,Spese,Allego note spese.,Amministrazione,Media
168,Monitor spenti,Gli schermi delle nuove postazioni rimangono neri.,Tecnico,Bassa
169,Guasto potrale,"Buongirono, vi comunico che il portale pagamenti ha un guasto.",Amministrazione,Alta
170,Urgenza monitor,"Lo schermo è nero, mi serve un intervento urgente.",Tecnico,Alta
171,Codici IBAN,Mandatemi i codici bancari e gli IBAN per i nuovi clienti.,Amministrazione,Media
172,Invio cataloghi,Ricordatevi di mandare i pdf con i nuovi cataloghi ai clienti storic.i,Commerciale,Bassa
173,Urgenza monitor,"Lo schermo è ner,o mi serve un intervento urgente.",Tecnico,Alta
174,Pagamento,Pagamento fornitore respinot.,Amministrazione,Bassa
175,Contratti scaduti,"I rinnovi dei contratti sono scadut,i dobbiamo ricontattarl.i",Commerciale,Alta
176,Preventivi sbagliati,"Abbiamo inviato dlele offerte con i prezzi sbagliati, vnano corrette.",Commerciale,Alta
177,Monitor psenti,Gli schermi delle nuove postazioni rimangono neri.,Tecnico,Bassa
178,Pezzo difettoso,Il mouse appena consegnato sembra idfettoso.,Commerciale,Media
179,Coordinate IBAN,Mandatemi l'IBAN per il nuovo cliente americano.,Amministrazione,Bassa
180,Documentazione,"Salve, avrei necessità che mi mandaste le certificazioni uniche.",Amministrazione,Bassa
181,Errori IVA,Gli importi calcolati per le imposte contengono numerosi errori.,Amministrazione,Media
182,Docmuentazione,"Salve, avrei necessità che mi mandaste le certificazioni uniche.",Amministrazione,Bassa
183,Guasto,Rete giù. Fate prest.o,Tecnico,Alta
184,Software in crash,"Salve, volevo segnalare che il gestionale crasha in continuazione.",Tecnico,Alta
185,Invio cataloghi,Ricordatevi di mandare i pdf con i nuovi cataloghi ai clienti storici.,Commerciale,Bassa
186,Invio cataloghi,Ricordatevi di mandare i pdf con i nuovi cataloghi ai clienti stoirci.,Commerciale,Bassa
187,Documentazione,"Salve, avrei necsesità che mi mandaste le certificazioni uniche.",Amministrazione,Bassa
188,Preventivi sbagliati,"Abbiamo inviaot delle offerte con i prezzi sbagliati, vanno corrette.",Commerciale,Media
189,Errori di sistema,"I programmi restituiscono continui errori, non riusciamo a lavorare.",Tecnico,Media
190,Password,Password scaduta. Reset urgente.,Tecnico,Alta
191,Invio cataloghi,Ricordatevi di mandare i pdf con i nuovi cataloghi ai clienti storici.,Commerciale,Bassa
192,Server gausti,"I server principali sono caduti, 'lintera rete aziendale è giù.",Tecnico,Alta
193,Calcolo sbagliato,Ho notaot che la trattenuta in busta paga è sbagliata.,Amministrazione,Media
194,Errore IVA,L'importo calcolato per l'imposta cnotiene un errore.,Amministrazione,Media
195,Anoamlia stampante,La stampante laser ha un'anomalia nella stampa dei colori.,Tecnico,Media
196,Preventivo sbagliato,"Abbiamo inivato un'offerta con un prezzo sbagliato, va corretta.",Tecnico,Media
197,Anomalia listino,Ho riscontrato un'anomalia nel prezzo caricato a sistema.,Commerciale,Media
198,PC bloccati,"I computer dell'ufficio non si accendono, siamo tutti fermi.",Amministrazione,Alta
199,Lnetezza navgiazione,"Buongiorno, vi scrivo per segnalare che da questa mattina si regisrta un rallentamento della rete.",Tecnico,Media
200,Errore cnotratto,C'è un errore di battitura nella clausola 4 del contratto.,Tecnico,Media
201,Lnetezza navigazione,"Buongiorno, vi scrivo per segnalare che da questa mattina si registra un rallentamento della rete.",Tecnico,Media
202,Anomalia listino,Ho riscontrato un'anomalia nel prezzo caricato a sistema.,Commerciale,Bassa
203,Preventivi sbagliati,"Abbiamo inviato delle offerte con i prezzi sbagliati, vanno corrette.",Commerciale,Media
204,Stipendio bloccato,Il bonifico del mio stipendio è bloccato in banca.,Amministrazione,Alta
205,Ordine bloccato,"La spedizione per il cliente VIP è ferma, situazione critica.",Commerciale,Alta
206,Server guasti,"I server principali sono caduti, l'intera rete aziendale è giù.",Tecnico,Alta
